epoch,tt_err,planet,number,ground
2458427.62210141,0.00195261,1,1,False
2458566.93358664,0.0020498,1,2,False
2459124.14202378,0.00232475,1,6,False
2459201.96844372,0.00231274,2,4,False
2459263.44717619,0.00199896,1,7,True
2459402.78350626,0.00464576,1,8,False
2460099.28145936,0.00172244,1,13,False
2460130.01643396,0.00211466,2,8,True
2460362.04797325,0.00826268,2,9,True
2460377.82453042,0.00330275,1,15,False
2460517.11452191,0.00592322,1,16,False
2460795.74846824,0.0034036,1,18,True
2460826.0993888,0.00492143,2,11,True
2460935.02646272,0.00207694,1,19,True
2461058.12316399,0.00686396,2,12,True
